birds,state,category_name,spCode,imgLink
American Black Duck,VA,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,VT,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,WA,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,WI,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,WV,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Avocet,AK,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,AL,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,AR,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,AZ,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,CA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,CO,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,CT,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,DC,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,DE,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,FL,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,GA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,HI,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,IA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,ID,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,IL,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,IN,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,KS,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,KY,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,LA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MD,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,ME,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MI,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MN,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MO,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MS,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,MT,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NC,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,ND,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NE,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NH,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NJ,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NM,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NV,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,NY,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,OH,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,OK,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,OR,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,PA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,RI,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,SC,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,SD,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,TN,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,TX,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,UT,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,VA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,VT,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,WA,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,WI,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,WV,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Avocet,WY,avocets_stilts,ameavo,https://s3.amazonaws.com/com-aab-media/photo/75242041-1280px.jpg
American Bittern,AK,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,AL,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,AR,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,AZ,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,CA,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,CO,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,CT,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,DC,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,DE,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,FL,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
American Bittern,GA,herons_egrets_bitterns,amebit,https://s3.amazonaws.com/com-aab-media/photo/75242201-1280px.jpg
