Common Name,Species Code
Connecticut x Mourning Warbler (hybrid),x00746
MacGillivray's x Mourning Warbler (hybrid),x00699
Connecticut/MacGillivray's/Mourning Warbler,oporor1
MacGillivray's/Mourning Warbler,y00628
Kentucky Warbler,kenwar
Mourning x Kentucky Warbler (hybrid),x00747
Olive-crowned Yellowthroat,olcyel1
Olive-crowned Yellowthroat (Baird's),olcyel2
Olive-crowned Yellowthroat (Olive-crowned),olcyel3
Black-polled Yellowthroat,blpyel1
Belding's Yellowthroat,belyel1
Bahama Yellowthroat,bahyel1
Altamira Yellowthroat,altyel1
Common Yellowthroat,comyel
Common Yellowthroat (arizela Group),comyel1
Common Yellowthroat (melanops Group),comyel2
Common Yellowthroat (trichas Group),comyel3
Common Yellowthroat (insperata),comyel5
Common Yellowthroat (chapalensis),comyel4
Gray-crowned x Common Yellowthroat (hybrid),x00748
Mourning Warbler x Common Yellowthroat (hybrid),x00749
MacGillivray's Warbler x Common Yellowthroat (hybrid),x00700
Hooded Yellowthroat,hooyel1
yellowthroat sp.,yellow7
Whistling Warbler,whiwar1
Plumbeous Warbler,pluwar1
Elfin-woods Warbler,elwwar1
Arrowhead Warbler,arrwar1
Hooded Warbler,hoowar
American Redstart,amered
Kirtland's Warbler,kirwar
Cape May Warbler,camwar
Cerulean Warbler,cerwar
Northern Parula,norpar
American Redstart x Northern Parula (hybrid),x00750
Cerulean Warbler x Northern Parula (hybrid),x00711
Tropical Parula,tropar
Tropical Parula (Northeast Mexico),tropar1
Tropical Parula (West Mexico),tropar2
Tropical Parula (Tres Marias Is.),tropar3
Tropical Parula (Socorro I.),tropar4
Tropical Parula (South Mexico and Guatemala),tropar5
Tropical Parula (Central American),tropar6
Tropical Parula (Coiba I.),tropar7
Tropical Parula (Eastern Panama),tropar8
Northern x Tropical Parula (hybrid),x00203
Northern/Tropical Parula,y00827
Magnolia Warbler,magwar
Nashville x Magnolia Warbler (hybrid),x00820
Bay-breasted Warbler,babwar
Blackburnian Warbler,bkbwar
Bay-breasted x Blackburnian Warbler (hybrid),x00821
Yellow Warbler,yelwar
Yellow Warbler (Northern),yelwar1
Yellow Warbler (Mangrove),maywar1
Yellow Warbler (Galapagos),yelwar3
Yellow Warbler (Golden),yelwar2
Yellow Warbler (Mangrove x Golden),yelwar4
Common Yellowthroat x Yellow Warbler (hybrid),x00701
Hooded x Yellow Warbler (hybrid),x00822
Chestnut-sided Warbler,chswar
Magnolia x Chestnut-sided Warbler (hybrid),x00772
Blackpoll Warbler,bkpwar
Bay-breasted x Blackpoll Warbler (hybrid),x00894
Bay-breasted/Blackpoll Warbler,y00627
Black-throated Blue Warbler,btbwar
Palm Warbler,palwar
Palm Warbler (Western),palwar3
Palm Warbler (Yellow),palwar4
Olive-capped Warbler,olcwar1
Pine Warbler,pinwar
Yellow-rumped Warbler,yerwar
Yellow-rumped Warbler (Myrtle),myrwar
Yellow-rumped Warbler (Audubon's),audwar
Yellow-rumped Warbler (Myrtle x Audubon's),yerwar3
Yellow-rumped Warbler (West Mexico),yerwar1
Yellow-rumped Warbler (Goldman's),yerwar2
Magnolia x Yellow-rumped Warbler (hybrid),x00773
Palm x Yellow-rumped Warbler (hybrid),x00461
Yellow-throated Warbler,yetwar
Yellow-throated Warbler (albilora),yetwar1
Yellow-throated Warbler (dominica/stoddardi),yetwar2
Sutton's Warbler (hybrid),sutwar
Bahama Warbler,yetwar3
Vitelline Warbler,vitwar1
Prairie Warbler,prawar
Blue-winged x Prairie Warbler (hybrid),x00719
Yellow x Prairie Warbler (hybrid),x00866
Adelaide's Warbler,adewar1
Barbuda Warbler,barwar
St. Lucia Warbler,stlwar
Grace's Warbler,grawar
Black-throated Gray Warbler,btywar
Yellow-rumped x Black-throated Gray Warbler (hybrid),x00895
Grace's x Black-throated Gray Warbler (hybrid),x00639
Townsend's Warbler,towwar
Yellow-rumped x Townsend's Warbler (hybrid),x00624
Black-throated Gray x Townsend's Warbler (hybrid),x00867
Black-throated Gray/Townsend's Warbler,y01014
Hermit Warbler,herwar
Townsend's x Hermit Warbler (hybrid),x00059
Black-throated Gray/Hermit Warbler,y00605
Townsend's/Hermit Warbler,y00645
Golden-cheeked Warbler,gchwar
Black-throated Green Warbler,btnwar
Townsend's x Black-throated Green Warbler (hybrid),x00664
Setophaga sp.,dendro3
Fan-tailed Warbler,fatwar
Rufous-capped Warbler,rucwar
Rufous-capped Warbler (rufifrons Group),rucwar2
Rufous-capped Warbler (salvini),rucwar3
Rufous-capped Warbler (Chestnut-capped),rucwar4
Common Yellowthroat x Rufous-capped Warbler (hybrid),x00751
Black-cheeked Warbler,blcwar1
Pirre Warbler,pirwar1
Golden-browed Warbler,gobwar1
Golden-crowned Warbler,gcrwar
Golden-crowned Warbler (Stripe-crowned),gocwar1
Golden-crowned Warbler (Cabanis's),gocwar3
Golden-crowned Warbler (Golden-crowned),gocwar2
Golden-crowned Warbler (White-bellied),whbwar1
Costa Rican Warbler,thswar5
Tacarcuna Warbler,thswar9
Three-striped Warbler,thswar1
Three-striped Warbler (San Lucas) (undescribed form),thswar3
Three-striped Warbler (daedalus),thswar6
Three-striped Warbler (auricularis),thswar4
Three-striped Warbler (Venezuelan),thswar7
Three-striped Warbler (Paria),thswar8
Three-striped Warbler (Three-striped),thswar10
Three-striped Warbler (Bolivian),thswar2
Three-banded Warbler,thbwar2
Gray-headed Warbler,gyhwar1
Basileuterus sp.,basile1
Santa Marta Warbler,samwar1
Citrine Warbler,citwar1
Citrine Warbler (Northern),citwar2
Citrine Warbler (Peruvian),citwar3
Citrine Warbler (Bolivian),citwar4
White-striped Warbler,whswar2
Flavescent Warbler,flawar1
White-browed Warbler,whbwar2
Pale-legged Warbler,palwar1
Black-crested Warbler,blcwar2
Buff-rumped Warbler,burwar1
Riverbank Warbler,rivwar1
Riverbank Warbler (mesoleuca),rivwar2
Riverbank Warbler (rivularis/boliviana),rivwar3
Two-banded Warbler,twbwar1
Two-banded Warbler (Roraiman),twbwar2
Two-banded Warbler (Two-banded),twbwar3
Golden-bellied Warbler,gobwar2
Golden-bellied Warbler (Golden-bellied),gobwar3
Golden-bellied Warbler (Choco),gobwar4
Gray-throated Warbler,gytwar1
White-lored Warbler,whlwar1
Gray-and-gold Warbler,gagwar2
Russet-crowned Warbler,rucwar1
Myiothlypis sp.,myioth1
Canada Warbler,canwar
Wilson's Warbler,wlswar
Wilson's Warbler (pileolata),wilwar1
Wilson's Warbler (pusilla),wilwar2
Wilson's Warbler (chryseola),wilwar3
Red-faced Warbler,refwar
Red Warbler,redwar1
Red Warbler (Gray-cheeked),redwar2
Red Warbler (White-cheeked),redwar3
Pink-headed Warbler,pihwar1
Painted Redstart,paired
Slate-throated Redstart,sltred
Painted x Slate-throated Redstart (hybrid),x00896
Brown-capped Redstart,brcred1
Tepui Redstart,tepred1
Paria Redstart,parred1
Saffron-breasted Redstart,sabred1
White-faced Redstart,whfred1
Collared Redstart,colred1
Yellow-crowned Redstart,yecred1
Golden-fronted Redstart,gofred1
Golden-fronted Redstart (Golden-fronted),gofred2
Golden-fronted Redstart (Yellow-fronted),gofred3
Spectacled Redstart,spered1
Golden-fronted x Spectacled Redstart (hybrid),x00868
White-fronted Redstart,whfred2
Myioborus sp.,myiobo1
warbler sp. (Parulidae sp.),warble
Brown Tanager,brotan1
Red-crested Cardinal,reccar
Red-cowled Cardinal,reccar2
Masked Cardinal,reccar3
Red-capped Cardinal,reccar4
Red-capped Cardinal (Red-capped),reccar5
Red-capped Cardinal (Bolivian),reccar6
Masked/Red-capped Cardinal,reccar1
Crimson-fronted Cardinal,crfcar1
Crimson-fronted Cardinal (Araguaia),crfcar2
Crimson-fronted Cardinal (Xingu),crfcar3
Red-capped x Crimson-fronted Cardinal (hybrid),x00897
Yellow-billed Cardinal,yebcar
Black-faced Tanager,blftan1
Cinnamon Tanager,cintan1
Magpie Tanager,magtan2
White-banded Tanager,whbtan1
Black-and-white Tanager,bawtan1
Cone-billed Tanager,cobtan2
Red-billed Pied Tanager,rbptan1
Scarlet-throated Tanager,scttan1
White-capped Tanager,whctan1
Hooded Tanager,hootan1
Cherry-throated Tanager,chttan1
Rufous-crested Tanager,ructan4
Slaty Tanager,slatan2
Olive-green Tanager,olgtan1
Black-capped Hemispingus,blchem1
Black-capped Hemispingus (Black-capped),bkchem1
Black-capped Hemispingus (White-browed),bkchem2
Orange-browed Hemispingus,orbhem1
Parodi's Hemispingus,parhem1
Gray-capped Hemispingus,gychem1
Oleaginous Hemispingus,olehem1
Black-eared Hemispingus,blehem1
Black-eared Hemispingus (Black-eared),bkehem2
Black-eared Hemispingus (Western),bkehem3
Black-eared Hemispingus (Piura),bkehem1
Orange-headed Tanager,orhtan1
Buff-bellied Tanager,bubtan1
Fulvous-headed Tanager,fuhtan1
Chestnut-headed Tanager,chhtan1
Rust-and-yellow Tanager,raytan1
Superciliaried Hemispingus,suphem1
Superciliaried Hemispingus (Yellow-browed),suphem5
Superciliaried Hemispingus (Superciliaried),suphem2
Superciliaried Hemispingus (White-bellied),suphem4
Superciliaried Hemispingus (urubambae),suphem3
Rufous-chested Tanager,ructan3
Brown-flanked Tanager,brftan1
Thlypopsis sp.,thlypo1
Plain-tailed Warbling-Finch,ptwfin1
Rusty-browed Warbling-Finch,rbwfin2
Buff-throated Warbling-Finch,rrwfin1
Gray-throated Warbling-Finch,gytwaf1
Ringed Warbling-Finch,riwfin1
Ringed Warbling-Finch (Ringed),rinwaf1
Ringed Warbling-Finch (Black-breasted),rinwaf2
Black-capped Warbling-Finch,bcwfin2
Cinereous Warbling-Finch,ciwfin1
Three-striped Hemispingus,thshem1
White-rumped Tanager,whrtan1
Pardusco,pardus2
Black-goggled Tanager,blgtan1
Gray-headed Tanager,grhtan1
Gray-headed Tanager (Gray-crested),gyhtan1
Gray-headed Tanager (Gray-headed),gyhtan2
San Pedro Tanager (undescribed form),saptan1
Flame-crested Tanager,flctan1
Flame-crested Tanager (Flame-crested),flctan2
Flame-crested Tanager (Natterer's),flctan3
Yellow-crested Tanager,yectan1
Fulvous-crested Tanager,fuctan1
Flame-crested/Fulvous-crested Tanager,y00919
White-shouldered Tanager,whstan1
Tawny-crested Tanager,tactan1
Ruby-crowned Tanager,ructan1
White-lined Tanager,whltan1
Red-shouldered Tanager,restan1
Tachyphonus sp.,tachyp1
Fulvous Shrike-Tanager,fustan1
White-winged Shrike-Tanager,wwstan1
Black-throated Shrike-Tanager,btstan1
White-throated Shrike-Tanager,wtstan1
Crimson-collared Tanager,crctan1
Flame-rumped Tanager,flrtan1
Flame-rumped Tanager (Flame-rumped),flrtan2
Flame-rumped Tanager (Lemon-rumped),flrtan3
Passerini's Tanager,pastan1
Cherrie's Tanager,chetan1
Passerini's/Cherrie's Tanager,y00599
Brazilian Tanager,bratan1
Black-bellied Tanager,bkbtan1
Silver-beaked Tanager,sibtan2
Masked Crimson Tanager,mactan1
Crimson-backed Tanager,crbtan1
Cherrie's x Crimson-backed Tanager (hybrid),x00898
Ramphocelus sp.,rampho2
Vermilion Tanager,vertan1
Blue-backed Tanager,blbtan2
Blue-and-gold Tanager,bagtan1
Black-and-gold Tanager,bagtan2
Golden-chested Tanager,goctan1
Moss-backed Tanager,mobtan1
Gold-ringed Tanager,gortan1
Orange-throated Tanager,orttan1
Hooded Mountain-Tanager,homtan1
Masked Mountain-Tanager,mamtan1
Black-chested Mountain-Tanager,bcmtan1
Golden-backed Mountain-Tanager,gbmtan1
Grass-green Tanager,grgtan1
Black-cheeked Mountain-Tanager,bkcmot1
Lacrimose Mountain-Tanager,lamtan1
Lacrimose Mountain-Tanager (Perija),lacmot1
Lacrimose Mountain-Tanager (melanops),lacmot2
Lacrimose Mountain-Tanager (yariguierum),lacmot3
Lacrimose Mountain-Tanager (intensus),lacmot4
Lacrimose Mountain-Tanager (palpebrosus Group),lacmot5
Lacrimose Mountain-Tanager (lacrymosus),lacmot6
Scarlet-bellied Mountain-Tanager,sbmtan1
Scarlet-bellied Mountain-Tanager (Scarlet-bellied),scbmot1
Scarlet-bellied Mountain-Tanager (Fire-bellied),scbmot2
Blue-winged Mountain-Tanager,bwmtan1
Blue-winged Mountain-Tanager (Blue-winged),buwmot1
Blue-winged Mountain-Tanager (Bolivian),buwmot2
Black-chinned Mountain-Tanager,bcmtan2
Buff-breasted Mountain-Tanager,bbmtan1
Buff-breasted Mountain-Tanager (Buff-breasted),bubmot2
Buff-breasted Mountain-Tanager (Cerulean-streaked),bubmot1
Chestnut-bellied Mountain-Tanager,cbmtan1
Rufous-bellied Mountain-Tanager,rubsal1
Diademed Tanager,diatan1
Purplish-mantled Tanager,pumtan2
Yellow-throated Tanager,yettan1
Golden-collared Tanager,goctan3
Golden-crowned Tanager,goctan4
Yellow-scarfed Tanager,yestan1
Fawn-breasted Tanager,fabtan1
Blue-and-yellow Tanager,baytan3
Blue-and-yellow Tanager (Green-mantled),baytan1
Blue-and-yellow Tanager (Blue-and-yellow),baytan4
Glistening-green Tanager,glgtan1
Orange-eared Tanager,oretan1
Orange-eared Tanager (Orange-eared),oretan2
Orange-eared Tanager (Blue-throated),oretan3
Multicolored Tanager,multan1
Blue-gray Tanager,bugtan
Blue-gray Tanager (Blue-gray),bugtan1
Blue-gray Tanager (White-edged),bugtan2
Sayaca Tanager,saytan1
Glaucous Tanager,glatan1
Azure-shouldered Tanager,azstan1
Golden-chevroned Tanager,goctan2
Yellow-winged Tanager,yewtan1
Palm Tanager,paltan1
Blue-capped Tanager,blctan2
Thraupis sp.,thraup1
Dotted Tanager,dottan1
Rufous-throated Tanager,ruttan1
Speckled Tanager,spetan1
Yellow-bellied Tanager,yebtan2
Spotted Tanager,spotan1
Ixothraupis sp. (speckled tanager sp.),ixothr1
Golden-naped Tanager,gontan1
Golden-naped Tanager (Golden-naped),gontan2
Golden-naped Tanager (Rusty-naped),gontan3
Black-headed Tanager,blhtan1
Black-headed Tanager (Black-headed),bkhtan1
Black-headed Tanager (Black-hooded),bkhtan2
Silvery Tanager,siltan1
Black-capped Tanager,blctan1
Green-throated Tanager,gnttan1
Sira Tanager,sirtan1
Azure-rumped Tanager,azrtan1
Gray-and-gold Tanager,gagtan1
Black-backed Tanager,blbtan1
Chestnut-backed Tanager,chbtan1
Green-capped Tanager,grctan1
Burnished-buff Tanager,bubtan2
Burnished-buff Tanager (Rufous-crowned),bubtan4
Burnished-buff Tanager (Stripe-bellied),bubtan3
Lesser Antillean Tanager,leatan1
Lesser Antillean Tanager (St. Vincent),leatan2
Lesser Antillean Tanager (Grenada),leatan3
Scrub Tanager,scrtan1
Masked Tanager,mastan1
Golden-hooded Tanager,gohtan1
Blue-necked Tanager,blntan1
Blue-and-black Tanager,babtan1
Blue-and-black Tanager (Blue-and-black),babtan2
Blue-and-black Tanager (Spot-bellied),babtan3
Beryl-spangled Tanager,bestan1
Spangle-cheeked Tanager,spctan1
Green-naped Tanager,grntan1
Metallic-green Tanager,megtan1
Blue-browed Tanager,blbtan3
Plain-colored Tanager,plctan1
Turquoise Tanager,turtan1
Turquoise Tanager (Turquoise),turtan2
Turquoise Tanager (White-bellied),turtan3
Paradise Tanager,partan1
Opal-rumped Tanager,oprtan1
Opal-rumped Tanager (Opal-rumped),oprtan2
Opal-rumped Tanager (Silver-breasted),oprtan3
Opal-crowned Tanager,opctan1
Green-headed Tanager,grhtan2
Seven-colored Tanager,sectan1
Red-necked Tanager,rentan1
Brassy-breasted Tanager,brbtan1
Gilt-edged Tanager,gietan1
Rufous-winged Tanager,ruwtan1
Bay-headed Tanager,bahtan1
Bay-headed Tanager (Bay-and-blue),bahtan2
Bay-headed Tanager (Bay-and-green),bahtan3
Bay-headed Tanager (Bay-headed),bahtan4
Rufous-cheeked Tanager,ructan2
Golden-eared Tanager,goetan1
Saffron-crowned Tanager,sactan1
Flame-faced Tanager,flftan1
Flame-faced Tanager (Flame-faced),flftan2
Flame-faced Tanager (Yellow-faced),flftan3
Green-and-gold Tanager,gagtan2
Blue-whiskered Tanager,blwtan1
Golden Tanager,goltan1
Golden Tanager (Golden),goltan3
Golden Tanager (Venezuelan),goltan2
Emerald Tanager,emetan1
Silver-throated Tanager,sittan1
Tangara sp.,tangar2
Tangara/Ixothraupis sp.,tangar1
Swallow Tanager,swatan1
White-bellied Dacnis,whbdac1
Black-faced Dacnis,blfdac1
Black-faced Dacnis (Yellow-tufted),bkfdac1
Black-faced Dacnis (Black-faced),bkfdac2
Yellow-bellied Dacnis,yebdac1
Turquoise Dacnis,turdac1
Black-legged Dacnis,blldac1
Scarlet-thighed Dacnis,sctdac1
Blue Dacnis,bludac1
Viridian Dacnis,virdac1
Scarlet-breasted Dacnis,scbdac1
Dacnis sp.,dacnis1
Short-billed Honeycreeper,shbhon2
Shining Honeycreeper,shihon1
Purple Honeycreeper,purhon1
Red-legged Honeycreeper,relhon1
Shining/Red-legged Honeycreeper,y00654
Green Honeycreeper,grehon1
Golden-collared Honeycreeper,gochon2
Sulphur-rumped Tanager,surtan1
Scarlet-browed Tanager,scbtan2
Guira Tanager,guitan1
Rufous-headed Tanager,ruhtan1
Guira/Rufous-headed Tanager,y01055
Yellow-backed Tanager,yebtan1
Black-and-yellow Tanager,baytan2
Scarlet-and-white Tanager,sawtan1
tanager sp. (Thraupidae sp.),tanage
Bicolored Conebill,biccon1
Pearly-breasted Conebill,pebcon1
Chestnut-vented Conebill,chvcon1
White-eared Conebill,whecon1
Giant Conebill,giacon1
White-browed Conebill,whbcon1
Blue-backed Conebill,blbcon1
Capped Conebill,capcon1
Tamarugo Conebill,tamcon1
Rufous-browed Conebill,rubcon1
Cinereous Conebill,cincon1
Cinereous Conebill (Ochraceous),cincon2
Cinereous Conebill (Cinereous),cincon3
conebill sp.,conebi1
Tit-like Dacnis,tildac1
Tit-like Dacnis (petersi Group),tildac3
Tit-like Dacnis (parina),tildac2
Chestnut-bellied Flowerpiercer,chbflo1
Glossy Flowerpiercer,gloflo1
Moustached Flowerpiercer,mouflo1
Moustached Flowerpiercer (unicincta),mouflo2
Moustached Flowerpiercer (pectoralis),mouflo3
Moustached Flowerpiercer (albilinea),mouflo4
Moustached Flowerpiercer (mystacalis),mouflo5
Merida Flowerpiercer,merflo1
Black Flowerpiercer,blkflo1
Black-throated Flowerpiercer,bktflo1
Gray-bellied Flowerpiercer,gybflo1
Venezuelan Flowerpiercer,venflo1
White-sided Flowerpiercer,whsflo1
Scaled Flowerpiercer,scaflo1
Greater Flowerpiercer,greflo1
Indigo Flowerpiercer,indflo1
Cinnamon-bellied Flowerpiercer,cibflo1
Slaty Flowerpiercer,slaflo1
Rusty Flowerpiercer,rusflo1
Deep-blue Flowerpiercer,debflo1
Bluish Flowerpiercer,bluflo1
Masked Flowerpiercer,masflo1
flowerpiercer sp.,flower1
Plushcap,plushc1
Black-backed Bush Tanager,bbbtan1
Blue Finch,blufin1
Black-hooded Sierra-Finch,bhsfin1
Peruvian Sierra-Finch,pesfin1
Gray-hooded Sierra-Finch,gyhsif1
Patagonian Sierra-Finch,pasfin1
Mourning Sierra-Finch,mosfin1
Mourning Sierra-Finch (Mourning),mousif1
Mourning Sierra-Finch (Blackish),mousif2
Red-backed Sierra-Finch,rbsfin1
White-throated Sierra-Finch,wtsfin1
Carbonated Sierra-Finch,casfin1
Band-tailed Sierra-Finch,btsfin1
sierra-finch sp.,sierra1
Short-tailed Finch,shtfin1
White-winged Diuca-Finch,wwdfin1
Common Diuca-Finch,codfin1
White-bridled Finch,cawfin1
White-bridled Finch (Fuegian),whbfin2
White-bridled Finch (Falkland),whbfin3
Yellow-bridled Finch,yebfin1
Yellow-bridled Finch (White-tailed),yebfin2
Yellow-bridled Finch (Yellow-tailed),yebfin3
Plumbeous Sierra-Finch,plsfin1
Ash-breasted Sierra-Finch,absfin1
Uniform Finch,unifin1
Slaty Finch,slafin1
Peg-billed Finch,pebfin1
Black-crested Finch,blcfin1
Gray-crested Finch,gycfin1
Black-crested/Gray-crested Finch,y00920
Long-tailed Reed Finch,ltrfin1
Gough Island Finch,goifin1
Nightingale Finch,nigfin1
Nightingale Finch (Inaccessible I.),nigfin2
Nightingale Finch (Nightingale I.),nigfin3
Wilkins's Finch,wilfin1
Wilkins's Finch (Inaccessible I.),wilfin2
Wilkins's Finch (Nightingale I.),wilfin3
Cinereous Finch,cinfin1
Slender-billed Finch,slbfin3
Great Inca-Finch,grifin1
Rufous-backed Inca-Finch,rbifin1
Gray-winged Inca-Finch,gywinf1
Buff-bridled Inca-Finch,bbifin1
Little Inca-Finch,liifin1
inca-finch sp.,inca-f1
Black-headed Hemispingus,blhhem1
Drab Hemispingus,drahem1
Gray-hooded Bush Tanager,gyhbut1
Gray-hooded Bush Tanager (rubrirostris),gyhbut2
Gray-hooded Bush Tanager (chrysogaster),gyhbut3
Bay-chested Warbling-Finch,bcwfin1
Slaty-backed Hemispingus,slbhem1
Rufous-browed Hemispingus,rubhem1
Bolivian Warbling-Finch,bowfin1
Rufous-sided Warbling-Finch,rswfin1
Cinnamon Warbling-Finch,ciwfin2
Black-and-rufous Warbling-Finch,barfin1
Black-and-rufous Warbling-Finch (Black-and-rufous),barwaf1
Black-and-rufous Warbling-Finch (Black-and-chestnut),barwaf2
Rufous-breasted Warbling-Finch,rbwfin1
Chestnut-breasted Mountain-Finch,cbmfin1
Collared Warbling-Finch,cowfin1
Cochabamba Mountain-Finch,comfin1
Tucuman Mountain-Finch,tumfin1
warbling-finch sp.,warbli1
Stripe-tailed Yellow-Finch,styfin1
Puna Yellow-Finch,puyfin1
Bright-rumped Yellow-Finch,bryfin1
Citron-headed Yellow-Finch,chyfin1
Greater Yellow-Finch,gryfin2
Greenish Yellow-Finch,gryfin3
Monte Yellow-Finch,monyef1
Patagonian Yellow-Finch,payfin1
Orange-fronted Yellow-Finch,ofyfin1
Saffron Finch,saffin
Saffron Finch (Saffron),saffin1
Saffron Finch (Pelzen's),saffin2
Grassland Yellow-Finch,gryfin1
Grassland Yellow-Finch (Northern),grayef1
Grassland Yellow-Finch (Montane),grayef2
Grassland Yellow-Finch (Grassland),grayef3
Raimondi's Yellow-Finch,rayfin1
Sulphur-throated Finch,sutfin1
yellow-finch sp.,yellow4
Wedge-tailed Grass-Finch,wtgfin1
Duida Grass-Finch,dugfin1
Lesser Grass-Finch,lesgrf1
Great Pampa-Finch,grpfin1
Great Pampa-Finch (Western),grepaf1
Great Pampa-Finch (Eastern),grepaf2
Pale-throated Pampa-Finch,ptpfin1
Blue-black Grassquit,blbgra1
Lesson's Seedeater,lessee2
Lined Seedeater,linsee1
Lesson's/Lined Seedeater,y00699
White-bellied Seedeater,whbsee1
Parrot-billed Seedeater,pabsee1
Chestnut-throated Seedeater,chtsee1
Drab Seedeater,drasee1
Chestnut-bellied Seedeater,chbsee1
Ruddy-breasted Seedeater,rubsee1
Black-and-tawny Seedeater,batsee2
Copper Seedeater,capsee1
Pearly-bellied Seedeater,pebsee1
Tawny-bellied Seedeater,tabsee1
Dark-throated Seedeater,datsee1
Ibera Seedeater (undescribed form),ibesee1
Marsh Seedeater,marsee1
Rufous-rumped Seedeater,rursee1
Chestnut Seedeater,chesee1
Black-bellied Seedeater,blbsee2
Thick-billed Seed-Finch,tbsfin1
Chestnut-bellied Seed-Finch,cbsfin
Nicaraguan Seed-Finch,nisfin1
Great-billed Seed-Finch,gbsfin1
Large-billed Seed-Finch,lbsfin1
Black-billed Seed-Finch,bbsfin1
Variable Seedeater,varsee3
Variable Seedeater (Black),varsee2
Variable Seedeater (Variable),varsee4
Gray Seedeater,grysee1
Wing-barred Seedeater,wibsee1
Caqueta Seedeater,caqsee1
White-collared Seedeater,whcsee
White-collared Seedeater (White-collared),whcsee1
White-collared Seedeater (Cinnamon-rumped),whcsee2
White-naped Seedeater,whnsee1
Black-and-white Seedeater,bawsee1
Yellow-bellied Seedeater,yebsee1
Dubois's Seedeater,dubsee1
Double-collared Seedeater,docsee1
Slate-colored Seedeater,slcsee1
Temminck's Seedeater,temsee1
Buffy-fronted Seedeater,bufsee1
Plumbeous Seedeater,plusee1
Tropeiro Seedeater,trosee1
Rusty-collared Seedeater,rucsee1
White-throated Seedeater,whtsee1
Sporophila sp.,sporop1
Band-tailed Seedeater,batsee1
Plain-colored Seedeater,plcsee1
Paramo Seedeater,parsee1
Catamenia sp.,catame1
Coal-crested Finch,cocfin2
Black-masked Finch,blmfin1
Pileated Finch,pilfin1
Red-crested Finch,recfin1
Crimson-breasted Finch,crbfin1
Yellow Cardinal,yelcar1
Common Diuca-Finch x Yellow Cardinal (hybrid),x00899
Bananaquit,banana
Bananaquit (Bahamas),banana4
Bananaquit (Caribbean),banana2
Bananaquit (Cozumel I.),banana3
Bananaquit (Mainland),banana1
Cuban Grassquit,cubgra
Yellow-faced Grassquit,yefgra1
Dull-colored Grassquit,ducgra2
Sooty Grassquit,soogra2
Black-faced Grassquit,bkfgra
Orangequit,orange1
Puerto Rican Bullfinch,purbul1
Greater Antillean Bullfinch,grabul1
Lesser Antillean Bullfinch,leabul1
Barbados Bullfinch,barbul1
Cuban Bullfinch,cubbul1
Cuban Bullfinch (Cuban),cubbul2
Cuban Bullfinch (Grand Cayman),cubbul3
Yellow-shouldered Grassquit,yesgra1
St. Lucia Black Finch,slbfin1
Cocos Finch,cocfin1
Green Warbler-Finch,warfin1
Gray Warbler-Finch,grywaf1
Vegetarian Finch,vegfin2
Woodpecker Finch,woofin1
Large Tree-Finch,latfin1
Medium Tree-Finch,metfin1
Small Tree-Finch,smtfin1
Mangrove Finch,manfin1
Small Ground-Finch,smgfin1
Large Ground-Finch,lagfin1
Vampire Ground-Finch,shbgrf1
Genovesa Ground-Finch,shbgrf2
Sharp-beaked Ground-Finch,shbgrf3
Common Cactus-Finch,cocfin3
Medium Ground-Finch,megfin1
Espaola Cactus-Finch,larcaf2
Genovesa Cactus-Finch,gencaf1
Geospiza sp.,geospi1
galapagos finch sp.,galfin1
Yellow-shouldered Grosbeak,yesgro2
Many-colored Chaco Finch,mccfin1
Black-throated Saltator,bltsal1
Buff-throated Saltator,butsal1
Black-winged Saltator,blwsal1
Black-headed Saltator,blhsal1
Orinocan Saltator,orisal1
Grayish Saltator,grasal1
Grayish Saltator (Middle American),grasal2
Grayish Saltator (Grayish),grasal3
Streaked Saltator,strsal1
Lesser Antillean Saltator,leasal1
Green-winged Saltator,grwsal1
Black-cowled Saltator,blcsal1
Thick-billed Saltator,thbsal1
Golden-billed Saltator,gobsal1
Masked Saltator,massal1
Slate-colored Grosbeak,slcgro1
Black-throated Grosbeak,bltgro2
saltator sp.,saltat1
Tanager Finch,tanfin1
Yellow-throated Chlorospingus,ytbtan1
Yellow-throated Chlorospingus (Drab-breasted),yetbut1
Yellow-throated Chlorospingus (Yellow-throated),yetbut2
Short-billed Chlorospingus,shbbut1
Ashy-throated Chlorospingus,atbtan1
Ashy-throated Chlorospingus (Olive-crowned),astbut1
Ashy-throated Chlorospingus (Ashy-throated),astbut2
Sooty-capped Chlorospingus,scbtan1
Common Chlorospingus,cobtan1
Common Chlorospingus (Northeast Mexico),combut1
Common Chlorospingus (Southwest Mexico),combut3
Common Chlorospingus (Middle America),combut4
Common Chlorospingus (Central Panama),combut2
Common Chlorospingus (Venezuela),combut5
Common Chlorospingus (Northern Andes),combut6
Common Chlorospingus (cinereocephalus),combut7
Common Chlorospingus (Southern Peru),combut8
Common Chlorospingus (Northern Bolivia),combut9
Common Chlorospingus (Southern Bolivia),combut10
Common Chlorospingus (Argentina),combut11
Tacarcuna Chlorospingus,tabtan1
Pirre Chlorospingus,pibtan1
Dusky Chlorospingus,dubtan1
Yellow-green Chlorospingus,ygbtan1
Chlorospingus sp.,chloro1
Tumbes Sparrow,tumspa1
Stripe-capped Sparrow,stcspa1
Rufous-winged Sparrow,ruwspa
